Alarm Clock	-143.65014880773595
Amplifier	-145.56916691340157
Battery	-136.8725208414458
Blu Ray Player	-152.04029733355156
Cable Modem	-147.1995069544565
Camcorder	-151.57225429631345
Camera	-155.41646595728713
Car Stereo	-145.28174414664713
CDPlayer	-142.1423366072326
CellPhone	-142.80566386620765
Computer	-149.933149043072
DVDPlayer	-144.21294114828967
Fan	-144.58508724846587
GPS	-150.01316293693242
Graphics Card	-138.91520509253823
HardDrive	-145.41573891527912
Headphone	-152.83171544101322
Home Theater System	-148.9998355368306
Iron	-146.5440283436747
Keyboard	-147.9351183490317
Kindle	-132.67506603180604
Lamp	-139.4285029896638
Laptop	-140.20806018919038
Media Player	-154.4811427548717
Memory Card	-139.31128656667033
Microphone	-146.9810522943759
Microwave	-145.74370665683287
Monitor	-143.08998709403738
Mouse	-147.72036302098897
MP3 Player	-148.45654012843653
Network Adapter	-145.9031990877328
Printer	-149.78005877307763
Projector	-142.78843706474854
Radar Detector	-146.04357705001604
Remote Control	-144.58247003318735
Rice Cooker	-141.19485455209002
Scanner	-149.87765559423187
Speaker	-149.32724916705834
Subwoofer	-147.00432811175784
Tablet	-147.12266416751038
Telephone	-147.61949405559614
TV	-151.12453336741254
Vacuum	-151.39152357705808
Video Player	-152.6784129317331
Video Recorder	-151.12646908807105
Voice Recorder	-144.35957213930618
Watch	-142.01027449957425
Webcam	-146.6573450510533
Wireless Router	-150.10246512353703
Xbox	-141.10281637729412
average	-146.23658390636655
