Alarm Clock	-1337.2939496003144
Amplifier	-1366.2916832748137
Battery	-1329.6165478378161
Blu Ray Player	-1531.3926589296816
Cable Modem	-1419.5104077967992
Camcorder	-1445.8877271897697
Camera	-1504.6646808692471
Car Stereo	-1403.0751912048324
CDPlayer	-1358.9021322160174
CellPhone	-1334.6342671564887
Computer	-1489.1318056288408
DVDPlayer	-1397.6389597029622
Fan	-1380.712978910119
GPS	-1446.7180215015303
Graphics Card	-1439.8390462712619
HardDrive	-1449.973852463398
Headphone	-1418.8121010029913
Home Theater System	-1497.4971412626305
Iron	-1415.466826766283
Keyboard	-1423.5181765543864
Kindle	-1318.9742320820849
Lamp	-1332.3265533950043
Laptop	-1368.8533700366038
Media Player	-1557.5226225504148
Memory Card	-1309.2306936243772
Microphone	-1384.2461132244723
Microwave	-1419.3948039405
Monitor	-1422.1498618789701
Mouse	-1419.7911839276067
MP3 Player	-1428.8470785199847
Network Adapter	-1376.6853013595294
Printer	-1456.5965342550558
Projector	-1458.2060757151448
Radar Detector	-1443.9006484353702
Remote Control	-1396.0223626888453
Rice Cooker	-1405.0328630896458
Scanner	-1475.1876920744542
Speaker	-1428.2545854629657
Subwoofer	-1392.6305299672654
Tablet	-1439.887405087999
Telephone	-1387.7112024445692
TV	-1433.15905593466
Vacuum	-1501.9440747742292
Video Player	-1480.271557036398
Video Recorder	-1523.1208033542928
Voice Recorder	-1383.7411737856999
Watch	-1365.8996749921846
Webcam	-1371.3599985013002
Wireless Router	-1489.8652457697383
Xbox	-1367.778036972252
average	-1418.5833898204355
