Alarm Clock	-150.12333392543837
Amplifier	-142.65885080337895
Battery	-137.94017149705718
Blu Ray Player	-147.80384575212904
Cable Modem	-146.84960214929055
Camcorder	-151.45657604215398
Camera	-157.4691532228034
Car Stereo	-146.63369291627365
CDPlayer	-143.82416704781554
CellPhone	-146.73018091107753
Computer	-153.1010819702187
DVDPlayer	-150.55556376928013
Fan	-147.0265539402029
GPS	-151.57108822237757
Graphics Card	-137.36030999505198
HardDrive	-148.12023243702646
Headphone	-154.08553375905979
Home Theater System	-151.0779576247465
Iron	-150.72773166947962
Keyboard	-149.50332962690675
Kindle	-138.22232986160165
Lamp	-138.41750161057138
Laptop	-143.1746564741083
Media Player	-151.5415532751273
Memory Card	-135.1207864180575
Microphone	-148.99840820421053
Microwave	-147.5102500115753
Monitor	-145.9849714240147
Mouse	-149.65324648801672
MP3 Player	-151.01527172737426
Network Adapter	-148.86265902111134
Printer	-148.75468872049606
Projector	-149.24022906257855
Radar Detector	-146.63707151277362
Remote Control	-144.03075054970483
Rice Cooker	-145.65438331706937
Scanner	-152.81537500766294
Speaker	-153.32623248591054
Subwoofer	-148.07695565500222
Tablet	-157.03313834231054
Telephone	-150.37242073263025
TV	-151.71765852735456
Vacuum	-152.03599793337358
Video Player	-154.3031028575985
Video Recorder	-152.76205733011642
Voice Recorder	-145.51137153809174
Watch	-139.17380794394725
Webcam	-149.2326375319936
Wireless Router	-147.33698913471324
Xbox	-143.59470842084934
average	-147.89460336803427
