Alarm Clock	-1202.8204985033167
Amplifier	-1259.1694662612556
Battery	-1110.8588323137026
Blu Ray Player	-1348.3671208640335
Cable Modem	-1236.4331584632184
Camcorder	-1383.5667893543218
Camera	-1323.3135360059293
Car Stereo	-1232.1715273803343
CDPlayer	-1124.0506787989937
CellPhone	-1235.8926465451632
Computer	-1357.3829998920394
DVDPlayer	-1166.0877769883439
Fan	-1171.5774801104867
GPS	-1274.7611573763668
Graphics Card	-1186.4346696404023
HardDrive	-1217.5535133384371
Headphone	-1187.5073841645449
Home Theater System	-1340.592571791854
Iron	-1251.2784364728755
Keyboard	-1222.4431002384167
Kindle	-1165.8856330491421
Lamp	-1129.8611963556184
Laptop	-1224.6768136246687
Media Player	-1360.059879477958
Memory Card	-1154.5892682266676
Microphone	-1245.4471694308518
Microwave	-1223.7458305432576
Monitor	-1248.9567141506166
Mouse	-1220.9084842222278
MP3 Player	-1307.2663814344394
Network Adapter	-1171.1828943428206
Printer	-1362.047875535756
Projector	-1357.3305448778665
Radar Detector	-1263.9554405267993
Remote Control	-1271.0531536267654
Rice Cooker	-1222.622570073003
Scanner	-1299.1399476194442
Speaker	-1109.666442875876
Subwoofer	-1206.9691913945667
Tablet	-1255.4497995569209
Telephone	-1229.0328956796268
TV	-1350.9432292760907
Vacuum	-1271.2599458757788
Video Player	-1219.6369999089252
Video Recorder	-1367.669134078107
Voice Recorder	-1209.0185907433201
Watch	-1169.0038782898907
Webcam	-1209.0237105271833
Wireless Router	-1325.2662181511184
Xbox	-1245.1654425281672
average : -1244.58197241015
