screen	channel	remote	antenna	easy	player	picture	review	box	sony	
radio	range	performance	simple	splitter	signal	strength	speed	television	distance	
setup	sd	card	pro	con	mce	slideshow	advanced	sharper	atsc	
wall	room	picture	button	window	glass	slide	light	living	foot	
money	computer	camera	television	uhf	phone	portable	switch	router	vhf	
customer	option	purchase	service	sale	future	christmas	support	rebate	addition	
sound	audio	speaker	file	video	dvd	system	headphone	band	theater	
component	usb	battery	hdmi	input	cable	hdmus	port	drive	dvi	
picture	video	sound	movie	game	software	image	dvd	color	music	
service	delivery	repair	price	difficult	easier	reasonable	slim	assistance	sdhc	
small	case	glad	cover	keyboard	board	art	cabinet	charger	entire	
device	monitor	laptop	pc	india	gadget	recent	ca	passive	pro	
google	fast	biggest	today	regular	happier	nba	worth	recent	cheaper	
price	antenna	model	electronics	manufacturer	indoor	limited	retail	construction	retailer	
cable	box	satellite	hd	hdmus	channel	company	digital	receiver	signal	
average coherence	-153.59733471809534
