Alarm Clock	-611.5971299508444
Amplifier	-623.0386331302269
Battery	-606.9897300329081
Blu Ray Player	-681.5098736219251
Cable Modem	-633.6326767497324
Camcorder	-661.1428760817109
Camera	-671.6507928973964
Car Stereo	-619.4101614012181
CDPlayer	-613.8305039953385
CellPhone	-618.3750140739011
Computer	-673.0695374745306
DVDPlayer	-611.4851548452058
Fan	-613.9265718490165
GPS	-646.2869533458763
Graphics Card	-630.174208643033
HardDrive	-639.1792446246243
Headphone	-651.7938791391493
Home Theater System	-672.3640175552995
Iron	-626.921591901092
Keyboard	-635.2929127610142
Kindle	-595.9099633709951
Lamp	-605.48276850462
Laptop	-607.2167881418335
Media Player	-693.7997554837663
Memory Card	-598.3549328147418
Microphone	-629.9336396648523
Microwave	-635.6055033620619
Monitor	-643.4481405924552
Mouse	-643.8015437263688
MP3 Player	-653.4781429990369
Network Adapter	-613.9719639445361
Printer	-658.8340453535287
Projector	-653.4022220626064
Radar Detector	-641.0949226454766
Remote Control	-629.808940104089
Rice Cooker	-623.0238733071859
Scanner	-668.9961327791733
Speaker	-638.194524701937
Subwoofer	-630.2518327268042
Tablet	-643.4838588576515
Telephone	-632.6416684236941
TV	-644.5979761020976
Vacuum	-652.0507993510078
Video Player	-661.215696096888
Video Recorder	-673.4903596908783
Voice Recorder	-631.4751447311745
Watch	-628.2759545742924
Webcam	-615.9847521343264
Wireless Router	-659.9762555587719
Xbox	-616.1611280491811
average	-637.3126938786014
