sound	cable	price	bass	speaker	system	room	volume	low	power	
home	theater	music	system	movie	long	reasonable	button	life	price	
floor	desk	speaker	bookshelf	cabinet	pair	table	overwhelming	alternative	longer	
black	solid	blue	light	plastic	led	white	enjoyable	metal	water	
energy	firing	electronics	construction	front	retail	internal	critical	listening	tech	
purchase	buy	sale	balanced	compliment	im	impressed	freq	cheaper	inside	
poor	thin	affordable	passive	crazy	regular	picky	comp	ready	road	
money	computer	tv	sound	movie	music	system	stereo	game	laptop	
setting	action	av	receiver	movie	hope	music	scene	fun	tone	
hum	thick	watt	accurate	downside	enthusiast	newer	continuous	tweaking	hiss	
foot	wall	floor	level	lack	entry	wood	position	flaw	separate	
amp	bass	distortion	music	watt	tight	acoustic	rich	explosion	thump	
klipsch	bose	harman	denon	limited	ultra	pyle	regular	fidelity	athena	
jbl	infinity	sony	velodyne	dolby	vizio	mid	paradigm	pro	panasonic	
speaker	sound	system	light	headphone	monitor	wire	jack	rest	logitech	
hookup	harder	cerwin	ca	lanzar	gauge	gauge	gauge	gauge	gauge	
means	accurate	specific	gauge	gauge	gauge	gauge	gauge	gauge	gauge	
tsi	im	similar	gauge	gauge	gauge	gauge	gauge	gauge	gauge	
ohm	ca	overwhelming	newer	means	factory	gauge	gauge	gauge	gauge	
accurate	snug	gauge	gauge	gauge	gauge	gauge	gauge	gauge	gauge	
hz	audiophile	fosgate	brother	em	gauge	gauge	gauge	gauge	gauge	
ton	specific	accurate	brother	snug	gauge	gauge	gauge	gauge	gauge	
fuse	ca	easier	tape	mediabridge	boomy	impressive	powered	thick	tsi	
ca	lanzar	bigger	accurate	sturdy	gauge	gauge	gauge	gauge	gauge	
audiophile	lfe	kardon	ca	happier	gauge	gauge	gauge	gauge	gauge	
average coherence	-834.5470213518397
