video	sony	feature	digital	tape	zoom	price	easy	image	light	
manual	focus	mode	auto	automatic	capability	widescreen	addition	setting	instruction	
battery	video	light	sound	low	lighting	life	hour	night	charger	
sony	canon	elura	panasonic	budget	dollar	similar	advantage	fp	carl	
button	star	recorder	bell	whistle	present	menu	mm	rating	entire	
scene	adobe	junk	vivid	infolithium	element	lowlight	biggest	alot	driver	
software	computer	money	video	dvd	sony	place	tv	electronics	cable	
noise	motor	job	decent	highest	setting	elura	complete	specific	background	
movie	photography	music	outdoors	noisy	sport	soccer	travel	game	golf	
picture	photo	viewfinder	sd	card	video	digital	lcd	color	quiet	
big	loud	microphone	plastic	shotgun	europe	mb	uk	floor	car	
pc	computer	mac	firewire	windows	video	editing	cable	software	card	
simple	snapshot	beginner	advanced	effective	expert	novice	relative	competitor	similar	
memory	hand	card	head	strap	huge	detail	plan	sdhc	back	
home	life	equipment	stock	house	phone	separate	car	play	school	
mp	worth	today	located	dont	greater	hey	picsio	usb	usb	
cover	entire	worth	today	longer	usb	usb	usb	usb	usb	
protective	specific	grainy	cheaper	today	smallest	similar	minidvd	greater	usb	
poor	pro	smallest	hus	regular	brother	today	impressive	evf	sharper	
grainy	entire	worth	sturdy	tough	longer	disappointing	usb	usb	usb	
fan	happier	im	elura	today	picsio	usb	usb	usb	usb	
minidvd	cheaper	impressed	past	worse	sturdy	receiver	usb	usb	usb	
camara	ugly	impressed	elura	worth	dvx	similar	heavier	usb	usb	
active	easier	past	usb	usb	usb	usb	usb	usb	usb	
horrible	vid	usb	usb	usb	usb	usb	usb	usb	usb	
average coherence	-984.1892398079829
