video	sony	light	battery	digital	feature	tape	zoom	price	easy	
fast	zoom	hd	google	dcr	avchd	minidvd	steadyshot	duo	dual	
pixel	inch	foot	ton	super	nightshot	mile	active	greater	dual	
highest	site	compatible	setting	luck	bulky	snap	worst	earlier	longer	
picture	setting	scene	photo	subject	menu	grainy	object	nightshot	feature	
memory	hand	stick	head	card	internal	huge	detail	plan	back	
screen	lens	lcd	sd	wide	card	touch	angle	menu	viewfinder	
choice	intuitive	balance	white	half	compatibility	research	market	everyday	consideration	
money	motor	noise	cassette	door	vixia	canon	sound	electronics	hf	
addition	close	sort	viewing	reset	unusable	placement	shortcoming	fp	fh	
average coherence	-1309.3728017445296
