air	quiet	room	speed	noise	small	easy	price	case	remote	
performance	functionality	internal	today	worth	cheaper	quietest	bigger	oc	circulator	
noisy	noise	main	dead	entire	reduction	pain	exact	fire	death	
kind	wrong	ugly	bunk	ca	taller	previous	round	pro	quieter	
color	air	conditioning	camping	gentle	number	running	reading	round	regular	
setting	low	lowest	high	speed	noise	previous	velocity	motherboard	cpu	
light	computer	money	home	tv	construction	conditioner	electric	laptop	motherboard	
cheap	highest	plastic	tight	cheaper	steady	fresh	affordable	convenient	motherboard	
night	temperature	summer	heat	hot	wave	combination	humidity	bunk	pro	
system	movement	decent	card	air	video	graphic	picture	device	regular	
average coherence	-1225.7982419720847
