quiet	room	small	easy	air	light	case	remote	hot	box	
ceiling	floor	window	tent	wall	desk	patio	garage	flimsy	soft	
setting	home	lowest	option	couple	larger	movement	friend	gentle	cheaper	
low	noise	oscillation	quieter	purifier	worth	speed	pressure	movement	moving	
night	hot	summer	combination	weekend	sweat	quieter	past	mobo	cheaper	
amount	disappointed	air	constant	larger	awful	im	actual	newer	quieter	
high	low	noisy	setting	medium	temperature	higher	sufficient	adequate	quick	
air	noise	battery	quiet	amount	blow	construction	conditioner	quieter	level	
white	noise	highest	black	setting	blue	loud	steady	fresh	affordable	
speed	position	lowest	performance	heat	velocity	low	larger	change	durability	
degree	inch	weight	end	motherboard	reasonable	ram	outage	gpu	spec	
size	price	conditioning	main	location	past	exact	condition	direct	variable	
tower	cpu	wrong	slow	motherboard	open	pro	tilted	addition	huge	
noisy	expensive	larger	ton	cost	beautiful	newer	regular	expense	size	
oscillation	pro	similar	worse	horrible	quieter	cfm	baby	baby	baby	
newer	db	baby	baby	baby	baby	baby	baby	baby	baby	
ton	worst	horrible	pro	happier	baby	baby	baby	baby	baby	
yesterday	upper	baby	baby	baby	baby	baby	baby	baby	baby	
direct	easier	worth	bigger	awful	baby	baby	baby	baby	baby	
im	cheaper	worst	horrible	comparable	biggest	baby	baby	baby	baby	
internal	receipt	baby	baby	baby	baby	baby	baby	baby	baby	
past	bigger	happier	baby	baby	baby	baby	baby	baby	baby	
sturdy	additional	ton	slight	baby	baby	baby	baby	baby	baby	
today	flimsy	yesterday	baby	baby	baby	baby	baby	baby	baby	
screw	quietest	bigger	mobo	baby	baby	baby	baby	baby	baby	
today	plenty	worth	quieter	downside	awful	baby	baby	baby	baby	
sturdy	past	worst	quieter	bigger	impressive	happier	slight	biggest	baby	
middle	bar	sturdy	happier	mobo	baby	baby	baby	baby	baby	
motherboard	sturdy	today	im	ton	quietest	baby	baby	baby	baby	
similar	quieter	newer	fix	db	baby	baby	baby	baby	baby	
average coherence	-733.4723628147243
