mic	ear	headphone	price	headset	noise	camera	phone	pair	volume	
sound	money	video	headphone	clear	button	bass	audio	voice	distortion	
music	headphone	song	band	singing	sport	communication	everyday	alot	accurate	
decent	poor	balanced	cheap	high	affordable	reboot	picky	harsh	road	
camera	picture	computer	laptop	ip	video	instruction	switch	address	internet	
sound	touch	pain	ipod	record	cheaper	impressed	camera	favorite	important	
plastic	black	solid	blue	white	metal	outdoor	film	green	red	
home	network	house	stock	wireless	internal	school	hardware	file	tinny	
construction	difficult	price	azden	packaging	acceptable	important	retail	shipping	delivery	
zoom	gain	resolution	main	focus	premium	bulky	location	worse	mm	
inch	area	foot	mm	impressed	pressure	ca	thinksound	distance	length	
night	light	vision	lighting	current	hesh	awkward	audiophile	longer	pressure	
headphone	battery	dollar	radio	range	cd	glass	tape	sturdy	worth	
inexpensive	shirt	rubber	ready	pad	longer	clip	rest	xlr	preamp	
kind	high	mid	sensitive	honest	mm	cheaper	fidelity	worth	horrible	
sturdy	fuzzy	past	thinksound	flimsy	hesh	inexpensive	inexpensive	inexpensive	inexpensive	
mm	helpful	fix	cubeternet	worth	impressed	today	inexpensive	inexpensive	inexpensive	
step	inexpensive	inexpensive	inexpensive	inexpensive	inexpensive	inexpensive	inexpensive	inexpensive	inexpensive	
hesh	accurate	cubeternet	happier	alot	minus	inexpensive	inexpensive	inexpensive	inexpensive	
lil	impressed	xlr	cable	inexpensive	inexpensive	inexpensive	inexpensive	inexpensive	inexpensive	
worth	brother	thinksound	flimsy	lapel	meelectronics	inexpensive	inexpensive	inexpensive	inexpensive	
phone	cell	alot	longer	meelectronic	worse	hesh	bigger	inexpensive	inexpensive	
minus	inexpensive	inexpensive	inexpensive	inexpensive	inexpensive	inexpensive	inexpensive	inexpensive	inexpensive	
cable	alot	thinksound	inexpensive	inexpensive	inexpensive	inexpensive	inexpensive	inexpensive	inexpensive	
hesh	helpful	return	inexpensive	inexpensive	inexpensive	inexpensive	inexpensive	inexpensive	inexpensive	
meelectronic	impressed	foscam	inexpensive	inexpensive	inexpensive	inexpensive	inexpensive	inexpensive	inexpensive	
portion	inline	audiophile	plenty	accurate	mm	didnt	worth	tinny	impressive	
dont	alot	tip	inexpensive	inexpensive	inexpensive	inexpensive	inexpensive	inexpensive	inexpensive	
worst	minus	flimsy	lapel	inexpensive	inexpensive	inexpensive	inexpensive	inexpensive	inexpensive	
receiver	koss	brother	unusable	inexpensive	inexpensive	inexpensive	inexpensive	inexpensive	inexpensive	
average coherence	-732.3780775446664
