speed	class	adapter	gb	reader	easy	fast	canon	review	sd	
image	file	raw	place	program	software	worth	electronic	powershot	similar	
computer	scanner	money	software	camcorder	laptop	flatbed	photo	microsdhc	cellphone	
price	photo	hour	cost	thousand	internal	plenty	ease	email	amount	
music	deal	media	retail	file	simple	phone	sale	wrong	print	
dslr	scan	photograph	hundred	addition	soft	tight	upload	crystaldiskmark	easier	
light	low	multiple	microsdhc	decent	pro	scandisk	longer	cheaper	worst	
samsung	sony	phone	htc	lg	buck	dell	nokia	wrong	rafael	
app	seconds	glad	trouble	careful	strange	bag	beautiful	sony	end	
picture	sd	video	hd	photo	movie	space	house	correct	worth	
phone	android	windows	laptop	cell	droid	slower	tablet	mobile	ipod	
book	bag	stick	star	megapixel	heavy	instruction	block	im	accessory	
sandisk	sdhc	extreme	gb	flash	transcend	class	pny	rebel	worth	
case	small	pelican	sd	charger	secure	odd	cover	lock	water	
size	resolution	performance	condition	highest	main	reasonable	eye	os	timely	
random	iop	read	crystal	additional	recent	finepix	video	video	video	
sequential	test	scandisk	slower	im	microsdhc	video	video	video	video	
drive	cheaper	past	newer	worth	pro	ton	lifemate	video	video	
duo	pro	helpful	numerous	carpathian	video	video	video	video	video	
carpathian	additional	recent	faster	instant	easier	today	worst	video	video	
cheaper	impossible	today	video	video	video	video	video	video	video	
read	happier	finepix	earlier	video	video	video	video	video	video	
thousand	worth	instant	previous	kindle	video	video	video	video	video	
additional	ca	recent	finepix	video	video	video	video	video	video	
plenty	internal	worth	easier	today	im	ca	video	video	video	
helpful	recent	newer	im	quicker	worst	ton	carpathian	video	video	
cheaper	carpathian	video	video	video	video	video	video	video	video	
qd	windows	mb	past	impossible	worth	pro	worst	video	video	
carpathian	male	recent	impressed	today	im	specific	video	video	video	
awkward	pro	additional	impossible	im	helpful	video	video	video	video	
average coherence	-753.6135722102058
