battery	price	feature	radio	car	remote	easy	disc	portable	song	
money	device	waste	drawback	china	mid	person	flimsy	audiophile	impressive	
word	sale	works	access	operation	horrible	exchange	regular	koss	retail	
station	radio	ipod	office	house	weather	school	library	clear	similar	
couple	single	main	seconds	careful	situation	sturdy	auxiliary	slim	flimsy	
sound	button	speaker	preset	headphone	color	small	stock	bass	touch	
real	battery	compartment	separate	toshiba	wma	expanium	wav	mediocre	round	
blue	laser	black	dark	kind	white	color	limited	original	sensitive	
radio	dvd	tv	reception	shower	speaker	tinny	screen	video	sacd	
button	case	wall	volume	range	worth	static	bed	lid	tiny	
piece	music	play	song	button	stop	info	expanium	entire	previous	
ear	head	hand	back	disappointing	helmet	flaw	hole	finger	thumb	
music	picture	worth	movie	option	place	electronics	construction	discman	hour	
decent	huge	sd	news	multiple	newer	cheaper	decision	awkward	expanium	
christmas	night	bulky	beginning	bright	quick	plays	slimx	cheaper	needless	
score	pass	fanny	happier	worth	impressed	plenty	numerous	bigger	clock	
happier	panasonics	yesterday	expanium	antiskip	clock	clock	clock	clock	clock	
folder	audiophile	worth	seperate	clock	clock	clock	clock	clock	clock	
audiophile	larger	programmable	ton	happier	im	pricey	regular	today	slightest	
newer	skeptical	round	past	worst	clock	clock	clock	clock	clock	
larger	worth	plenty	doesnt	antiskip	seperate	clock	clock	clock	clock	
worth	today	skeptical	ca	similar	antiskip	specific	fanny	clock	clock	
rca	jack	larger	tv	impressed	panasonics	past	clock	clock	clock	
im	flimsy	needless	dont	skeptical	bumpy	mid	impressive	clock	clock	
needless	internal	seperate	horrible	bumpy	clock	clock	clock	clock	clock	
arrow	read	programmable	regular	entire	panasonics	similar	previous	worse	clock	
skeptical	larger	bumpy	gripe	past	expanium	koss	worst	antiskip	clock	
folder	worth	impressed	round	riovolt	extended	hundred	alot	upgradable	clock	
worth	yesterday	ca	extended	upgradable	seperate	clock	clock	clock	clock	
larger	similar	antiskip	tinny	minus	hundred	mid	clock	clock	clock	
average coherence	-780.3459241836327
