Alarm Clock	-1563.732178242924
Amplifier	-1481.4350787677686
Battery	-1570.439199647341
Blu Ray Player	-1539.3282296604766
Cable Modem	-1522.3135492734548
Camcorder	-1513.3813315880977
Camera	-1552.919034958025
Car Stereo	-1536.509654799708
CDPlayer	-1564.1453621428263
CellPhone	-1550.9410144049139
Computer	-1547.066859998489
DVDPlayer	-1541.1256068647142
Fan	-1586.4540514257721
GPS	-1537.939318939385
Graphics Card	-1462.4923102545915
HardDrive	-1566.1316374760474
Headphone	-1581.6257436276442
Home Theater System	-1521.7808795512985
Iron	-1568.5248304180366
Keyboard	-1544.2517031996113
Kindle	-1558.825130827039
Lamp	-1572.9528970255662
Laptop	-1528.0930587926498
Media Player	-1547.1549848218058
Memory Card	-1533.2706870840677
Microphone	-1620.2009391895908
Microwave	-1562.921935600249
Monitor	-1530.4717464772882
Mouse	-1542.4558294053147
MP3 Player	-1546.974947627018
Network Adapter	-1497.7568784192238
Printer	-1516.3166783806043
Projector	-1504.555162038331
Radar Detector	-1514.5306175088576
Remote Control	-1515.1005957230072
Rice Cooker	-1590.1272039499568
Scanner	-1550.4828704284364
Speaker	-1541.4530638356453
Subwoofer	-1556.3381806746506
Tablet	-1493.0156742223003
Telephone	-1586.9963183646998
TV	-1510.763798485482
Vacuum	-1542.8000507303332
Video Player	-1525.8273459033685
Video Recorder	-1541.923671797523
Voice Recorder	-1499.6758176534704
Watch	-1606.6021444723374
Webcam	-1511.3094984852012
Wireless Router	-1515.9898128939944
Xbox	-1432.1099784431724
average : -1538.9907018900462
