monitor	screen	tablet	price	display	color	device	app	lcd	easy	
wrong	negative	cool	black	quiet	handy	seconds	crazy	whites	careful	
office	bulky	suite	note	library	rock	birthday	separate	party	folk	
picture	image	photo	text	program	place	hub	router	color	sharp	
warranty	model	replacement	monitor	price	part	repair	return	cost	delivery	
mode	contrast	rate	color	average	range	ratio	refresh	brightness	rma	
ipad	xoom	archos	android	tablet	app	market	ipod	creative	apple	
drive	keyboard	usb	mouse	port	hard	road	printer	surprise	past	
response	main	question	operating	lag	complaint	responsive	adjustable	local	rest	
life	battery	sort	everyday	browsing	preset	push	prompt	larger	playback	
kid	netbook	expectation	satisfactory	longer	faster	usable	monitor	monitor	monitor	
customer	service	manufacturer	limited	vendor	retailer	competitor	hotel	significant	past	
video	game	card	movie	money	sound	sd	picture	speaker	music	
os	sale	android	honeycomb	ram	newer	works	operation	replaceable	dad	
support	phone	machine	hardware	decent	cpu	technical	larger	streaming	extended	
recent	frustrating	ram	monitor	monitor	monitor	monitor	monitor	monitor	monitor	
im	moniter	worth	awful	earlier	additional	ziio	tint	monitor	monitor	
chip	frustrating	bigger	archo	protective	envision	gvision	meg	monitor	monitor	
ghz	sturdy	monitor	monitor	monitor	monitor	monitor	monitor	monitor	monitor	
chinese	longer	im	happier	direct	cheaper	sturdy	crappy	thicker	envision	
connection	displayport	vga	cable	mini	im	quarters	happier	additional	dvi	
gvision	pro	im	impressive	recent	easier	envision	spare	fabulous	heavier	
past	motherboard	protective	potplayer	worth	unbelievable	gvision	monitor	monitor	monitor	
crappy	motherboard	happier	fabulous	camera	front	monitor	monitor	monitor	monitor	
heavier	horrible	displays	spare	monitor	monitor	monitor	monitor	monitor	monitor	
wifus	minus	extended	worse	sturdy	heavier	monitor	monitor	monitor	monitor	
yesterday	helpful	appslib	mother	significant	moniter	larger	monitor	monitor	monitor	
sony	quarters	dont	superdrive	crappy	wifus	protective	excellant	osd	monitor	
moniter	longer	awful	gvision	monitor	monitor	monitor	monitor	monitor	monitor	
useless	meg	helpful	today	protective	syncmaster	monitor	monitor	monitor	monitor	
average coherence	-801.9887480813354
