map	screen	feature	easy	gps	route	traffic	direction	trip	battery	
device	monitor	heart	rate	picture	previous	easier	photo	chart	cheaper	
customer	support	service	sale	tech	cigarette	question	complete	lighter	optional	
road	street	highway	area	freeway	speed	field	interstate	addition	route	
fast	google	direct	earth	msn	college	today	school	worth	helpful	
watch	money	camera	bag	heavy	easier	connector	actual	combination	impossible	
foot	mile	end	inch	micro	degree	pleasant	earlier	impressive	inaccuracy	
tomtom	nuvi	computer	software	magellan	phone	pc	windows	gps	printer	
elevation	route	fastest	similar	recent	fix	biggest	difficulty	regular	aspect	
car	ease	consumer	construction	rental	truck	player	internal	antenna	hundred	
restaurant	suction	gas	larger	intuitive	station	additional	cup	hotel	tree	
night	bright	christmas	screen	sunlight	weather	backlight	rain	direct	july	
address	email	lack	worry	stress	frustration	doubt	shame	home	dislike	
button	point	star	real	person	familiar	inaccurate	nearest	cell	present	
simple	accuracy	mode	radio	bulky	bezel	wide	touch	frustrating	motonav	
call	im	accurate	pro	nuvus	roadmate	optional	additional	activity	magellan	
impressive	rechargeable	protector	cheaper	magellan	magellan	magellan	magellan	magellan	magellan	
pro	unusable	numerous	yesterday	impressed	similar	nuvus	doesnt	im	worst	
tom	yesterday	rino	accurate	pro	today	nuvus	unable	heartrate	magellan	
streetpilot	unnecessary	accurate	today	sturdy	roadmate	faster	worse	frustrating	round	
talex	accurate	nuvus	roadmate	usable	magellan	magellan	magellan	magellan	magellan	
accurate	earlier	pro	roadmate	im	mcnally	protector	magellan	magellan	magellan	
etrex	legend	accurate	reboot	horrible	direct	im	numerous	rechargeable	magellan	
impressed	motonav	pro	today	helpful	sturdy	streetpilot	doesnt	inaccuracy	shorter	
waypoint	cheaper	fix	worse	rechargeable	magellan	magellan	magellan	magellan	magellan	
accurate	worst	past	yesterday	impressive	impossible	pod	protector	vehicle	magellan	
rechargeable	nuvus	pace	biggest	fix	rino	magellan	magellan	magellan	magellan	
yesterday	pro	mapsource	late	regular	nicer	unnecessary	protector	rate	heart	
unnecessary	streetpilot	cheaper	juntion	belt	magellan	magellan	magellan	magellan	magellan	
plenty	actual	today	earlier	magellan	magellan	magellan	magellan	magellan	magellan	
average coherence	-872.0844510616158
