computer	software	file	laptop	backup	power	mac	datum	pc	machine	
usb	cable	battery	port	sata	firewire	connection	cord	laptop	ac	
big	loud	helpful	past	canvio	recent	entire	newer	yesterday	typing	
transfer	noise	rate	drop	sale	question	operation	extreme	hr	vibration	
operating	system	password	return	main	temp	moment	age	worst	limit	
star	keyboard	point	line	mouse	gig	inch	screen	touchpad	impossible	
case	notebook	small	cover	typing	larger	folder	nti	charger	pen	
setting	solution	bulky	wide	character	beginning	duet	permission	longer	fry	
instruction	screw	option	previous	email	future	lack	hour	sector	driver	
performance	price	recovery	reliability	range	decent	expensive	security	worse	functionality	
capacity	storage	ram	connectivity	plenty	change	faster	connection	pro	bigger	
external	picture	hd	internal	worst	tight	recent	numerous	video	impressed	
friend	home	couple	option	office	canvio	plenty	wonderful	memeo	title	
wd	seagate	maxtor	dell	hp	lacie	iomega	tb	passport	portable	
device	music	money	photo	picture	video	movie	document	file	camera	
additional	goflex	impossible	previous	deskstar	purchase	purchase	purchase	purchase	purchase	
fry	purchase	purchase	purchase	purchase	purchase	purchase	purchase	purchase	purchase	
phone	cell	brother	similar	impossible	slower	ez	purchase	purchase	purchase	
slower	pro	gamer	purchase	purchase	purchase	purchase	purchase	purchase	purchase	
canvio	easier	helpful	motherboard	archo	creative	purchase	purchase	purchase	purchase	
impossible	convenient	purchase	purchase	purchase	purchase	purchase	purchase	purchase	purchase	
dock	pro	inside	handy	purchase	purchase	purchase	purchase	purchase	purchase	
previous	newer	ez	purchase	purchase	purchase	purchase	purchase	purchase	purchase	
warranty	worth	purchase	purchase	purchase	purchase	purchase	purchase	purchase	purchase	
brother	easier	fry	specific	purchase	purchase	purchase	purchase	purchase	purchase	
connection	capable	sturdy	impressive	today	meg	purchase	purchase	purchase	purchase	
led	past	bigger	plenty	newest	firmware	purchase	purchase	purchase	purchase	
brother	easier	snug	impossible	cheaper	yesterday	purchase	purchase	purchase	purchase	
internal	gamer	impressive	convenient	beware	yesterday	purchase	purchase	purchase	purchase	
yesterday	helpful	bigger	canvio	previous	archo	smallest	box	purchase	purchase	
average coherence	-754.3098202976089
