music	song	sound	ipod	device	easy	software	cd	file	screen	
small	case	cover	clip	rechargable	cheaper	syncing	unable	calus	board	
fm	button	radio	tape	station	recorder	folder	oled	dongle	isnt	
computer	headphone	earphone	speaker	ipod	sound	laptop	usb	iphone	ear	
money	star	charger	adapter	disc	armband	junk	camera	rock	rubber	
rockbox	clip	zip	worth	apparent	direct	rechargable	lousy	art	device	
deal	big	addition	sort	cumbersome	frustrating	push	gmini	joke	worst	
sony	panasonic	samsung	coby	limited	guess	previous	numerous	riovolt	lousy	
ear	space	bud	place	main	order	sound	internal	head	bulky	
cheap	convenient	special	multiple	impressive	fancy	fresh	thin	round	cheaper	
card	sd	flash	jukebox	bass	memory	equalizer	micro	slot	wmp	
touch	weak	pain	mode	disappointment	hope	surprise	msc	noisy	sweat	
review	decent	company	huge	digital	squaretrade	press	research	similar	terrific	
car	fuze	radio	electronics	adapter	machine	explorer	stereo	home	stock	
battery	life	track	hour	water	long	aaa	gym	solution	ac	
khz	apparent	bigger	thousand	shorter	straightforward	thicker	device	device	device	
worth	easier	awkward	today	apparent	alot	cheaper	worst	gapless	device	
shorter	mother	numerous	today	cheaper	im	straightforward	unique	happier	calus	
cable	ca	longer	responsive	yesterday	gapless	device	device	device	device	
mother	clever	enjoyable	ca	thicker	yesterday	device	device	device	device	
worth	today	koss	happier	thicker	comparable	correct	shuffle	device	device	
numerous	today	direct	past	brother	pro	labs	detailed	gapless	device	
yesterday	usable	sturdy	brother	pro	correct	device	device	device	device	
previous	direct	cheaper	yesterday	impressed	gapless	device	device	device	device	
today	yesterday	worst	trick	regular	alot	horrible	correct	crossfeed	device	
riovolt	today	im	responsive	yesterday	bought	device	device	device	device	
responsive	numerous	yesterday	frustrating	happier	thicker	screen	touch	device	device	
today	heavier	ca	wifus	crossfeed	device	device	device	device	device	
worth	playcenter	today	horrible	ca	pro	device	device	device	device	
numerous	regular	playcenter	today	apparent	horrible	ca	thicker	device	device	
average coherence	-826.9426085818761
