ipod	player	zen	creative	screen	vision	battery	device	apple	easy	
money	book	camera	connector	present	worth	bag	channel	angle	stand	
system	decent	napster	rhapsody	sale	method	navigation	proprietary	im	definition	
video	music	photo	picture	sound	software	movie	audio	playlist	format	
headphone	charger	case	computer	usb	speaker	earphone	cable	wall	earbud	
intuitive	luck	birthday	reasonable	everyday	effort	brighter	documentation	larger	usable	
playback	addition	video	recording	drawback	preset	special	ton	upload	circuit	
file	folder	list	software	format	main	computer	media	larger	menu	
library	electronics	technology	gym	ton	waste	spec	mess	match	school	
computer	windows	player	media	digital	software	sync	playlist	reliable	explorer	
complete	noise	pro	unbox	archo	newest	larger	damage	city	visual	
playback	impatient	worse	zvue	faster	ipod	ipod	ipod	ipod	ipod	
phone	model	email	bulky	call	wide	support	codec	position	force	
version	software	firmware	codec	helpful	brother	impressed	recent	worse	worst	
piece	shack	radio	identical	junk	horrible	worth	newest	frustrating	today	
album	card	star	artist	song	seconds	sd	memory	plastic	slot	
error	ready	trial	blah	brighter	frustrating	archo	zvm	impressed	finish	
button	fm	radio	tuner	recorder	reception	feature	voice	reset	recording	
fast	yahoo	google	riaa	xtra	helpful	worth	hype	earlier	sturdy	
song	music	movie	itune	ipod	track	game	itunes	number	cd	
average coherence	-1233.5495716117925
