Alarm Clock	-1433.5140790911062
Amplifier	-1413.7797354562229
Battery	-1465.466608959819
Blu Ray Player	-1548.6573537095378
Cable Modem	-1434.8993011329442
Camcorder	-1506.9191324447127
Camera	-1531.6719112852647
Car Stereo	-1437.0806223384939
CDPlayer	-1436.7097106979086
CellPhone	-1426.2020188745246
Computer	-1528.069063962662
DVDPlayer	-1435.2286102865473
Fan	-1461.3462925959689
GPS	-1488.6038158728452
Graphics Card	-1441.4930665656016
HardDrive	-1471.5187216721
Headphone	-1500.357238226011
Home Theater System	-1507.4428647682878
Iron	-1432.819899176016
Keyboard	-1462.6903287635457
Kindle	-1411.2280465603535
Lamp	-1439.6901391695444
Laptop	-1410.6107141617586
Media Player	-1588.0697638813408
Memory Card	-1393.3060303507032
Microphone	-1497.9951719961575
Microwave	-1448.0355053907992
Monitor	-1464.7079247386005
Mouse	-1459.3734835400842
MP3 Player	-1484.7000849790063
Network Adapter	-1417.7981218695993
Printer	-1500.7369071313174
Projector	-1492.7194649680625
Radar Detector	-1469.7588397686518
Remote Control	-1452.4979378411535
Rice Cooker	-1462.3723021911744
Scanner	-1524.9306443854275
Speaker	-1470.7258237091833
Subwoofer	-1452.4095178515047
Tablet	-1462.3893273249766
Telephone	-1481.1901282411902
TV	-1461.2838906655925
Vacuum	-1486.3031283680975
Video Player	-1502.1173612587122
Video Recorder	-1538.2898261585683
Voice Recorder	-1447.637635326501
Watch	-1479.5577751447545
Webcam	-1399.2450068471721
Wireless Router	-1487.2594325478046
Xbox	-1393.1262224770903
average : -1466.8907306945
