netgear	connection	support	easy	device	setup	firmware	internet	computer	laptop	
performance	security	reliability	dhcp	poor	recent	detailed	mixed	ping	qos	
technology	waste	paper	electronics	mess	bar	stick	packaging	construction	rock	
works	media	word	server	sale	operation	additional	foreign	worst	frustrating	
solid	blue	light	black	rock	bright	green	digital	water	yesterday	
address	ip	friend	place	mac	password	additional	email	cost	smartphone	
range	speed	radio	ghz	simple	frequency	band	coverage	faster	gadget	
network	printer	usb	drive	server	storage	computer	port	hard	disk	
windows	basic	advanced	home	deal	feature	upstairs	office	vista	flash	
seconds	glad	limited	app	centurylink	linksy	previous	biggest	detailed	impressed	
strength	signal	speed	consistent	cheap	communication	disconnect	gui	lack	frustration	
stream	large	higher	difficult	movie	netflix	file	complex	tv	sufficient	
verizon	past	qo	fix	competent	pro	impressive	biggest	longer	entire	
video	switch	link	streaming	light	program	movie	impossible	game	netflix	
upgrade	improvement	firmware	money	ease	increase	upload	installation	bluray	worth	
roku	tivo	computer	netflix	located	slingbox	atheros	easier	impressive	misleading	
house	channel	band	ghz	signal	mode	stock	ssid	combination	wifi	
high	low	average	min	satisfied	total	maximum	max	expectation	impression	
system	decent	matter	config	content	pro	file	newest	earlier	easier	
wrong	power	packet	weak	cycle	potential	watt	universal	loss	size	
average coherence	-1259.357280694377
